17.2409,5.23613
22.1645,5.20241
27.11,5.14358
32.0241,5.17929
36.9591,5.19029
41.8633,5.22387
44.1291,5.97201
46.091,7.03409
47.2389,8.51881
47.6227,10.3025
47.2965,11.5963
46.1798,13.231
43.9145,15.5564
41.6503,17.4555
38.6779,19.3664
36.0412,21.9602
35.1891,25.0561
36.1085,28.7642
39.3534,31.0387
42.8014,32.3835
45.3281,32.8556
47.5404,33.3129
49.5882,33.6892
52.4909,35.0467
54.3228,36.845
55.0227,38.4368
55.4733,41.1991
55.3671,43.2385
54.4214,45.9382
52.6462,47.2269
51.0211,48.0547
47.269,49.4482
43.0816,50.533
38.8557,52.1862
34.4554,54.1492
30.4224,56.3604
26.4954,58.4883
22.4975,60.0679
19.7206,60.2562
17.8722,59.3998
16.1895,58.0371
15.2725,56.5222
14.6289,54.6506
13.4673,50.7315
12.5492,46.6211
11.4939,42.435
10.8798,39.108
11.4571,36.6314
12.8405,34.6931
15.0441,31.698
17.6909,28.543
19.4318,25.0653
18.3901,21.456
18.3901,21.456
15.058,18.9545
11.025,16.8915
7.34252,15.6842
3.94464,14.329
1.52138,12.7327
1.08354,11.3034
0.798769,9.43193
0.943291,7.83313
1.77306,6.46556
5.12928,5.2126
8.91045,5.19832
12.9778,5.19105
